stem,score,horizontal_split_signals,vertical_split_signals,both_axis_cells,wide_text_boxes,tall_text_boxes,num_rows,num_cols,cells,image_path,json_path,examples
134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000,403,45,46,17,45,0,47,2,90,/home/chanho-cho/projects/Datasets/table_structure_val/image/134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000.json,"cell#0 r0c0 bbox=[12.8, 0.8, 584.1, 17.3] crosses_v=1 crosses_h=0 text='13.2.1 Method 1: DR Testing using FlashCopy . . . . . . . . . . . . . . . . . . ' || cell#2 r1c0 bbox=[12.1, 19.6, 584.2, 36.2] crosses_v=1 crosses_h=0 text='13.2.2 Method 2: DR Testing using Write Protect Mode on DR clusters . . . . . . ' || cell#4 r2c0 bbox=[13.0, 35.0, 584.4, 52.2] crosses_v=1 crosses_h=0 text='13.2.3 Method 3: DR testing without using Write Protect Mode on DR clusters . . ' || cell#6 r3c0 bbox=[8.3, 54.3, 584.3, 70.9] crosses_v=1 crosses_h=0 text='13.2.4 Method 4: Breaking the interconnects between the TS7700 grid . . . . . . '"
c70ab1cf22e93d1b7fb6c844cdcb491957eed885490283cf6915059fb68edbd2_0000,398,97,3,2,88,0,50,4,106,/home/chanho-cho/projects/Datasets/table_structure_val/image/c70ab1cf22e93d1b7fb6c844cdcb491957eed885490283cf6915059fb68edbd2_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/c70ab1cf22e93d1b7fb6c844cdcb491957eed885490283cf6915059fb68edbd2_0000.json,"cell#1 r1c0 bbox=[2.8, 29.1, 353.8, 41.8] crosses_v=1 crosses_h=0 text=""Dalton's Law................................................................5-26"" || cell#3 r3c1 bbox=[311.3, 68.1, 353.8, 80.8] crosses_v=1 crosses_h=0 text='12-137' || cell#4 r4c0 bbox=[16.3, 87.6, 353.8, 100.3] crosses_v=1 crosses_h=0 text='Compound wound ................................................12-136' || cell#5 r5c0 bbox=[16.3, 107.1, 353.8, 119.8] crosses_v=1 crosses_h=0 text='Series wound ........................................................12-135'"
d0b9122a5f89128e5bb0589416ddc298c49d9d50c75d3887639fbfd88fb266f9_0000,396,0,132,0,0,0,56,6,246,/home/chanho-cho/projects/Datasets/table_structure_val/image/d0b9122a5f89128e5bb0589416ddc298c49d9d50c75d3887639fbfd88fb266f9_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/d0b9122a5f89128e5bb0589416ddc298c49d9d50c75d3887639fbfd88fb266f9_0000.json,"cell#7 r2c0 bbox=[-1.5, 50.0, 160.3, 65.3] crosses_v=0 crosses_h=1 text='INCOME STATEMENT DATA' || cell#8 r3c0 bbox=[-1.0, 53.0, 134.7, 68.1] crosses_v=0 crosses_h=1 text='Revenues:' || cell#15 r5c0 bbox=[20.0, 83.4, 117.8, 97.8] crosses_v=0 crosses_h=1 text='Principal transactions:' || cell#19 r6c3 bbox=[539.2, 102.4, 567.7, 117.0] crosses_v=0 crosses_h=1 text='5,796'"
8331a91ee070e59e24e7d96ab3e80efcffe65cf22f4123ce25517b35b5a54835_0000,395,91,6,5,79,0,46,4,101,/home/chanho-cho/projects/Datasets/table_structure_val/image/8331a91ee070e59e24e7d96ab3e80efcffe65cf22f4123ce25517b35b5a54835_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/8331a91ee070e59e24e7d96ab3e80efcffe65cf22f4123ce25517b35b5a54835_0000.json,"cell#0 r0c0 bbox=[15.5, 5.3, 353.0, 18.0] crosses_v=1 crosses_h=0 text='Bromochlorodifluoromethane (Halon 1211)..............1-8' || cell#1 r1c0 bbox=[15.5, 24.8, 353.0, 37.5] crosses_v=1 crosses_h=0 text='Bromotrifluoromethane (Halon 1301)........................1-8' || cell#2 r2c0 bbox=[15.5, 44.3, 353.0, 59.2] crosses_v=1 crosses_h=0 text='Carbon dioxide (CO 2 ).................................................1-6' || cell#3 r3c0 bbox=[15.5, 63.8, 353.0, 76.5] crosses_v=1 crosses_h=0 text='Chlorobromomethane (Halon 1011) ..........................1-8'"
ace2cd0f053e3f758d3ff29cae9896c378290c2851a5cdf5b831f1d2a8ad3407_0000,393,96,3,3,81,0,49,4,107,/home/chanho-cho/projects/Datasets/table_structure_val/image/ace2cd0f053e3f758d3ff29cae9896c378290c2851a5cdf5b831f1d2a8ad3407_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/ace2cd0f053e3f758d3ff29cae9896c378290c2851a5cdf5b831f1d2a8ad3407_0000.json,"cell#1 r0c0 bbox=[15.5, 4.3, 353.0, 17.0] crosses_v=1 crosses_h=0 text='Lead-acid................................................................12-92' || cell#2 r1c0 bbox=[15.5, 23.8, 353.0, 36.5] crosses_v=1 crosses_h=0 text='Primary cell ............................................................12-89' || cell#3 r2c0 bbox=[15.5, 43.3, 353.0, 56.0] crosses_v=1 crosses_h=0 text='Secondary cell ........................................................12-89' || cell#4 r3c0 bbox=[2.0, 62.8, 353.0, 75.5] crosses_v=1 crosses_h=0 text='Bearing load.................................................................7-6'"
f6b1a583b4f056e0470b8cf906dfd961c4472f833c699e4d475a0edaabdf409a_0000,390,97,2,1,88,0,49,4,106,/home/chanho-cho/projects/Datasets/table_structure_val/image/f6b1a583b4f056e0470b8cf906dfd961c4472f833c699e4d475a0edaabdf409a_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/f6b1a583b4f056e0470b8cf906dfd961c4472f833c699e4d475a0edaabdf409a_0000.json,"cell#0 r0c0 bbox=[2.8, 3.7, 353.8, 16.4] crosses_v=1 crosses_h=0 text='Slack...........................................................................' || cell#1 r1c0 bbox=[2.8, 23.2, 353.8, 35.9] crosses_v=1 crosses_h=0 text='Slide calipers..............................................................11-2' || cell#2 r2c0 bbox=[2.8, 42.7, 353.8, 55.4] crosses_v=1 crosses_h=0 text='Society for Testing and Materials (ASTM).................2-45' || cell#4 r3c1 bbox=[298.8, 62.2, 353.8, 74.9] crosses_v=1 crosses_h=0 text='2-45, 7-3'"
d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000,388,58,48,14,0,0,54,4,166,/home/chanho-cho/projects/Datasets/table_structure_val/image/d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000.json,"cell#0 r0c1 bbox=[56.1, 27.5, 355.8, 42.6] crosses_v=1 crosses_h=0 text='50.17.2 OS-Related References . . . . . . . . .' || cell#2 r1c1 bbox=[32.9, 41.7, 225.4, 61.1] crosses_v=2 crosses_h=0 text='50.17.3 Other References' || cell#5 r2c1 bbox=[26.4, 64.0, 57.4, 80.9] crosses_v=1 crosses_h=0 text='50.18' || cell#6 r2c2 bbox=[75.4, 61.5, 298.0, 79.3] crosses_v=1 crosses_h=0 text='Acknowledgements . . . . . . . . .'"
73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000,367,35,38,20,48,0,52,3,148,/home/chanho-cho/projects/Datasets/table_structure_val/image/73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000.json,"cell#36 r12c0 bbox=[61.6, 222.0, 109.0, 238.1] crosses_v=1 crosses_h=0 text='86.15.15' || cell#39 r13c0 bbox=[37.5, 237.6, 234.7, 253.6] crosses_v=1 crosses_h=0 text='86.16 Platform Specific Problems' || cell#72 r24c0 bbox=[60.8, 435.7, 108.5, 452.2] crosses_v=1 crosses_h=0 text='86.16.11' || cell#75 r25c0 bbox=[59.2, 453.7, 108.7, 470.0] crosses_v=1 crosses_h=0 text='86.16.12'"
7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000,358,53,38,16,5,0,51,4,143,/home/chanho-cho/projects/Datasets/table_structure_val/image/7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000.json,"cell#0 r0c1 bbox=[58.5, 12.4, 221.1, 29.5] crosses_v=1 crosses_h=0 text='98.5.4 Perl LaTeX Documentation' || cell#4 r1c1 bbox=[68.1, 31.3, 294.3, 47.1] crosses_v=1 crosses_h=0 text='BUILDING PERL ON AMIGAOS' || cell#5 r2c1 bbox=[57.7, 46.7, 299.9, 61.8] crosses_v=1 crosses_h=0 text='. 98.6.1 Build Prerequisites for Perl on' || cell#18 r6c1 bbox=[58.7, 119.7, 312.1, 136.9] crosses_v=1 crosses_h=0 text='98.6.5 Installing the built Perl on AmigaOS'"
b68cc1cb0c92aa7561b9800ab5d17860b79b88770dc7ca4961380bd7d916b930_0000,358,60,24,16,26,0,55,4,171,/home/chanho-cho/projects/Datasets/table_structure_val/image/b68cc1cb0c92aa7561b9800ab5d17860b79b88770dc7ca4961380bd7d916b930_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/b68cc1cb0c92aa7561b9800ab5d17860b79b88770dc7ca4961380bd7d916b930_0000.json,"cell#1 r0c2 bbox=[106.8, 25.1, 454.0, 40.1] crosses_v=1 crosses_h=0 text='Hash Randomisation . . . . . . . . . . . . . . . . . . .' || cell#4 r1c2 bbox=[104.1, 40.4, 454.0, 56.8] crosses_v=1 crosses_h=0 text='Threading . . . . . . . . . . . . . . . . . . . . . . . . .' || cell#7 r2c1 bbox=[49.2, 60.5, 116.2, 76.3] crosses_v=1 crosses_h=0 text='Modules' || cell#8 r2c2 bbox=[91.2, 59.4, 454.0, 75.6] crosses_v=1 crosses_h=0 text='and Pragmata . . . . . . . . . . . . . . . . . . . . . .'"
540f16bd03612c828de64484bec723eef915a9e501ee325acf9a529eb6bb325c_0000,353,55,41,13,0,0,52,4,163,/home/chanho-cho/projects/Datasets/table_structure_val/image/540f16bd03612c828de64484bec723eef915a9e501ee325acf9a529eb6bb325c_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/540f16bd03612c828de64484bec723eef915a9e501ee325acf9a529eb6bb325c_0000.json,"cell#1 r0c2 bbox=[120.0, 30.5, 290.7, 46.2] crosses_v=1 crosses_h=0 text='Opening Non-File Files . .' || cell#4 r1c2 bbox=[119.7, 45.3, 290.7, 63.3] crosses_v=1 crosses_h=0 text='Opening Named Pipes . . .' || cell#7 r2c2 bbox=[121.6, 63.8, 290.7, 81.3] crosses_v=1 crosses_h=0 text='Opening Sockets . . . . . .' || cell#10 r3c2 bbox=[119.3, 81.3, 290.7, 99.2] crosses_v=1 crosses_h=0 text='Binary Files . . . . . . . . .'"
6c7cc8f0b2e8610c3b74d2f789ab10c06249f12d82b68b5d1a603773db75fa53_0000,352,3,94,3,46,0,51,3,144,/home/chanho-cho/projects/Datasets/table_structure_val/image/6c7cc8f0b2e8610c3b74d2f789ab10c06249f12d82b68b5d1a603773db75fa53_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/6c7cc8f0b2e8610c3b74d2f789ab10c06249f12d82b68b5d1a603773db75fa53_0000.json,"cell#29 r10c1 bbox=[112.1, 193.5, 565.1, 210.0] crosses_v=0 crosses_h=1 text='. . . . . .' || cell#30 r9c2 bbox=[700.5, 192.7, 723.0, 208.3] crosses_v=0 crosses_h=1 text='727' || cell#31 r11c0 bbox=[2.3, 218.1, 86.7, 239.0] crosses_v=0 crosses_h=1 text='45 perltie' || cell#32 r10c2 bbox=[700.4, 210.1, 723.7, 226.0] crosses_v=0 crosses_h=1 text='728'"
c4ae8a87062efbdbf44389a94992d0b9d0bcfdbdba0eedd3f28519f11559a1f3_0000,345,91,0,0,72,0,49,4,98,/home/chanho-cho/projects/Datasets/table_structure_val/image/c4ae8a87062efbdbf44389a94992d0b9d0bcfdbdba0eedd3f28519f11559a1f3_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/c4ae8a87062efbdbf44389a94992d0b9d0bcfdbdba0eedd3f28519f11559a1f3_0000.json,"cell#0 r0c0 bbox=[3.3, 4.0, 354.3, 16.7] crosses_v=1 crosses_h=0 text='Measurement Systems .................................................3-27' || cell#1 r1c0 bbox=[16.8, 23.5, 354.3, 36.2] crosses_v=1 crosses_h=0 text='Conventional (U.S. or English) System ...................3-27' || cell#2 r2c0 bbox=[16.8, 43.0, 354.3, 55.7] crosses_v=1 crosses_h=0 text='Metric System ..........................................................3-27' || cell#3 r3c0 bbox=[16.8, 62.5, 354.3, 75.2] crosses_v=1 crosses_h=0 text='Measurement Systems and Conversions..................3-28'"
841f939a400740ea6965e5357abbba9f269fb78e5d8608d70c9406b9eb3ea935_0000,342,56,34,14,2,0,51,4,168,/home/chanho-cho/projects/Datasets/table_structure_val/image/841f939a400740ea6965e5357abbba9f269fb78e5d8608d70c9406b9eb3ea935_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/841f939a400740ea6965e5357abbba9f269fb78e5d8608d70c9406b9eb3ea935_0000.json,"cell#0 r0c1 bbox=[61.4, 29.4, 307.2, 45.2] crosses_v=1 crosses_h=0 text='103.3.4 Suspicious Warnings on Cygwin' || cell#4 r1c1 bbox=[61.8, 44.5, 248.9, 60.6] crosses_v=1 crosses_h=0 text='MAKE ON CYGWIN . . .' || cell#8 r2c2 bbox=[107.1, 64.5, 345.4, 80.3] crosses_v=1 crosses_h=0 text='Errors on Cygwin . . . . . . . . . . .' || cell#11 r3c2 bbox=[114.2, 83.1, 345.4, 98.9] crosses_v=1 crosses_h=0 text='ld2 on Cygwin . . . . . . . . . . . .'"
acf35d92d642e25f6d7ceb858bb83107f5918bcf0eb9a975429c4a8dd6258b71_0000,341,66,28,11,4,0,52,4,155,/home/chanho-cho/projects/Datasets/table_structure_val/image/acf35d92d642e25f6d7ceb858bb83107f5918bcf0eb9a975429c4a8dd6258b71_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/acf35d92d642e25f6d7ceb858bb83107f5918bcf0eb9a975429c4a8dd6258b71_0000.json,"cell#0 r0c1 bbox=[57.6, 22.1, 104.8, 38.2] crosses_v=1 crosses_h=0 text='28.1.22' || cell#1 r0c2 bbox=[119.5, 23.8, 323.8, 39.3] crosses_v=1 crosses_h=0 text='List Operators (Rightward) . . . .' || cell#4 r1c2 bbox=[118.2, 38.8, 323.8, 55.2] crosses_v=1 crosses_h=0 text='Logical Not . . . . . . . . . . . .' || cell#7 r2c2 bbox=[117.8, 55.9, 323.8, 73.1] crosses_v=1 crosses_h=0 text='Logical And . . . . . . . . . . .'"
e5cb8777468fbb0675b2406dffd536cfa9edd44571f92e3ddd07d91634af6c17_0000,337,3,90,2,48,0,52,3,144,/home/chanho-cho/projects/Datasets/table_structure_val/image/e5cb8777468fbb0675b2406dffd536cfa9edd44571f92e3ddd07d91634af6c17_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/e5cb8777468fbb0675b2406dffd536cfa9edd44571f92e3ddd07d91634af6c17_0000.json,"cell#11 r4c1 bbox=[118.3, 82.8, 665.8, 116.0] crosses_v=0 crosses_h=1 text='. All I want to do is append a small amount of text to the end of a file. Do I s' || cell#14 r4c2 bbox=[697.1, 105.7, 721.1, 122.1] crosses_v=0 crosses_h=1 text='279' || cell#45 r15c0 bbox=[51.7, 298.4, 101.5, 315.6] crosses_v=0 crosses_h=1 text='21.1.32' || cell#51 r17c0 bbox=[46.4, 333.2, 96.5, 350.6] crosses_v=0 crosses_h=1 text='21.1.34'"
f2e584d3a6089e6a8eff0dcd7089d885c626598353ba1a88b6f9b117be37dc60_0000,337,63,18,10,44,0,54,3,159,/home/chanho-cho/projects/Datasets/table_structure_val/image/f2e584d3a6089e6a8eff0dcd7089d885c626598353ba1a88b6f9b117be37dc60_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/f2e584d3a6089e6a8eff0dcd7089d885c626598353ba1a88b6f9b117be37dc60_0000.json,"cell#0 r0c0 bbox=[61.1, 10.1, 307.0, 24.4] crosses_v=1 crosses_h=0 text='Installation and Configuration Improvements' || cell#3 r1c0 bbox=[58.0, 34.1, 90.7, 49.4] crosses_v=0 crosses_h=1 text='90.9.1' || cell#4 r1c1 bbox=[100.4, 30.8, 451.8, 45.9] crosses_v=1 crosses_h=0 text='Generic Improvements . . . . . . . . . . . . . . . . . .' || cell#6 r2c0 bbox=[55.8, 50.0, 216.4, 66.2] crosses_v=1 crosses_h=0 text='Selected . . .'"
